"WB"	"min"	"max"	"value"	"n"	"Indicator"	"Unit"	"type"	"Kysttype"	"Salinitet"	"SalinityClass"	"Match"	"MatchValue"	"Region"	"Kvalitetselement"	"Indikator"	"NotUsed"	"Ref"	"HG"	"GM"	"MP"	"PB"	"Worst"	"ClassID"	"EQR"	"Class"
"0110000038-2-C"	74.1792647329609	75.1633083847132	74.671286558837	2	"NO3_winter"	"[µg-N/l]"	""	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0110000200-C"	62.4116797849034	62.4116797849034	62.4116797849034	1	"NO3_winter"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0110000300-C"	82.198643534371	84.1186173846213	83.0283772570364	8	"NO3_winter"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0110000400-C"	81.1605199481664	82.4713472677081	81.8597874516405	3	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0110000701-C"	62.8702763171678	62.983361948742	62.9268191329549	2	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0110010100-C"	83.8773607564776	87.4601872422722	85.6760942016201	6	"NO3_winter"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0110010200-C"	87.8313531982765	91.5978948668148	90.0455851072676	5	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0110010300-C"	91.6632878592845	103.105357545145	96.9754819772295	17	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0110010402-C"	90.2569145191921	92.9551946500714	91.8853952121199	4	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0110010500-C"	96.190262730202	99.6944805102402	97.8876224823212	4	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	4	0.793659839411991	"Good"
"0110010600-C"	95.2713272276889	101.663825474428	97.5453965188412	8	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	4	0.796104310579706	"Good"
"0110010701-C"	106.647725416033	119.151057296924	110.574950693745	29	"NO3_winter"	"[µg-N/l]"	"S5"	"Sterkt ferskvannspåvirket fjord"	"Skagerak (5 - 25)"	"18"	"SalinityClass"	"18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	139	239	367	NA	4	0.735357377648835	"Good"
"0110010703-C"	107.902370249287	107.902370249287	107.902370249287	1	"NO3_winter"	"[µg-N/l]"	"S5"	"Sterkt ferskvannspåvirket fjord"	"Skagerak (5 - 25)"	"18"	"SalinityClass"	"18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	139	239	367	NA	4	0.748083951193869	"Good"
"0110010801-C"	93.2378233041656	105.784899304422	100.381122064055	12	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	4	0.775849128113895	"Good"
"0110010802-C"	85.0524271043499	92.4909136857879	89.6884012297298	5	"NO3_winter"	"[µg-N/l]"	""	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0110020100-C"	67.2649454641878	69.3353205905871	68.2946872711182	19	"NO3_winter"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0110020200-C"	67.83412112011	67.83412112011	67.83412112011	1	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0110020300-C"	63.6623679225364	64.0147186236435	63.8698987258954	5	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0110020600-C"	63.7802128925752	67.1275952210587	64.6242664195179	10	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0110020800-1-C"	63.3412024358685	65.5589106511534	64.3216282668408	8	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0110020800-2-C"	66.2514469221737	66.2514469221737	66.2514469221737	1	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0110021000-1-C"	65.8387011678031	71.4047141048346	68.6119842341777	8	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0110021000-2-C"	68.5358528956938	68.5358528956938	68.5358528956938	1	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0110021101-1-C"	72.4899638315265	79.7816467874506	75.8174742545081	21	"NO3_winter"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Mesohalin (5 - 18)"	"5"	"SalinityClass"	"5"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	143	226	326	478	NA	5	0.9	"High"
"0110021101-2-C"	72.2697771265266	72.2697771265266	72.2697771265266	1	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0110021200-C"	65.2542571458924	66.581355145808	65.9043227286821	3	"NO3_winter"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120000030-C"	59.6707127924715	64.6546782911494	60.7171661998895	84	"NO3_winter"	"[µg-N/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120000031-1-C"	58.7452666250508	60.6079680651761	59.5864912397629	96	"NO3_winter"	"[µg-N/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120000031-2-C"	59.0402440301488	59.8011281061708	59.3791522075621	8	"NO3_winter"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120000031-3-C"	58.3596303141519	58.4787767120961	58.419203513124	2	"NO3_winter"	"[µg-N/l]"	""	"Moderat eksponert kyst"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120000032-3-C"	59.4008507969674	68.9736181805643	61.1828310834079	98	"NO3_winter"	"[µg-N/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120000032-4-C"	60.922318672866	60.922318672866	60.922318672866	1	"NO3_winter"	"[µg-N/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120000033-C"	60.224977495965	60.224977495965	60.224977495965	1	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120000034-C"	65.7672800562355	79.1077696607354	70.1211581364107	14	"NO3_winter"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120010101-1-C"	58.0617173360975	58.0617173360975	58.0617173360975	1	"NO3_winter"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Mesohalin (5 - 18)"	"5"	"SalinityClass"	"5"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	143	226	326	478	NA	5	0.9	"High"
"0120010101-2-C"	58.066001217017	58.2587707203426	58.18173028378	4	"NO3_winter"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120010102-C"	58.4138954998402	58.8296846137958	58.6258095857802	4	"NO3_winter"	"[µg-N/l]"	""	"Beskyttet kyst/fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120010201-C"	58.0176077585542	59.4191003033284	58.4949585146997	11	"NO3_winter"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Mesohalin (5 - 18)"	"5"	"SalinityClass"	"5"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	143	226	326	478	NA	5	0.9	"High"
"0120010300-1-C"	59.0149007459705	59.0149007459705	59.0149007459705	1	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120010300-4-C"	59.0490657131324	60.6445236527518	59.7244951104403	12	"NO3_winter"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120010400-C"	63.5289158499643	66.742358046971	65.62203385187	4	"NO3_winter"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120010502-1-C"	70.355115236861	81.7997300223018	75.5922112447046	6	"NO3_winter"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Mesohalin (5 - 18)"	"5"	"SalinityClass"	"5"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	143	226	326	478	NA	5	0.9	"High"
"0120020100-1-C"	59.7795156307435	60.1092230577147	59.9136033443922	5	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120020100-2-C"	60.0356258676293	60.4376911072249	60.2493508786298	4	"NO3_winter"	"[µg-N/l]"	""	"Beskyttet kyst/fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120020201-C"	58.5258473278431	58.6880266184217	58.6175689643688	7	"NO3_winter"	"[µg-N/l]"	""	"Beskyttet kyst/fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120020203-C"	58.5434786362595	58.5434786362595	58.5434786362595	1	"NO3_winter"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120020300-C"	58.6038722831212	58.6038722831212	58.6038722831212	1	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120020400-1-C"	58.4655883955152	58.9242083115524	58.6890593157725	4	"NO3_winter"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120020400-2-C"	58.4522646143195	58.6252915001987	58.5387780572591	2	"NO3_winter"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120020600-C"	58.8547637757291	59.0180207075698	58.9565745721596	3	"NO3_winter"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120030100-C"	59.2819242289897	59.4022398905808	59.3420820597852	2	"NO3_winter"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120030201-1-C"	59.3534348252114	59.3824687700593	59.3679517976354	2	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120030201-2-C"	59.3342721890867	59.6978035589282	59.4448716422815	8	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120030203-1-C"	61.9155833506852	61.9155833506852	61.9155833506852	1	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120030203-2-C"	59.9188701088509	61.2904331496592	60.7397602742977	4	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120030204-C"	63.11634580205	68.9603514992789	65.0715843224793	4	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120030500-1-C"	66.4537059242806	87.9238626287225	78.4869601705101	5	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120030500-2-C"	65.6397053739998	65.6397053739998	65.6397053739998	1	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0120030600-1-C"	63.1494925531109	63.1494925531109	63.1494925531109	1	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0121000030-C"	61.6683363700181	64.1894155084417	62.3549334892768	126	"NO3_winter"	"[µg-N/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0121000031-C"	62.7560197717688	64.9720435115728	63.6886628103792	25	"NO3_winter"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0121000032-C"	62.17275238305	64.6175285644746	63.1215647247036	162	"NO3_winter"	"[µg-N/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0121000033-C"	64.262425835213	65.0607270417588	64.589680785097	3	"NO3_winter"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0121000300-1-C"	62.5268182379476	62.6934432019009	62.5995293874419	10	"NO3_winter"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0121000300-2-C"	62.6353021793151	62.8315348437663	62.7334185115407	2	"NO3_winter"	"[µg-N/l]"	""	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0121000700-C"	62.8866760114606	62.9623627207252	62.9245193660929	2	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0121010100-C"	62.22595766689	62.7312141831001	62.4174722426393	4	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0121010300-C"	60.3048264417755	60.5744400667341	60.4488301714708	3	"NO3_winter"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0121010400-2-C"	60.589686005303	62.9045880939184	62.1090288625674	10	"NO3_winter"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0121020202-C"	61.7984033836408	62.3701858145467	62.0436917830049	5	"NO3_winter"	"[µg-N/l]"	""	"Beskyttet kyst/fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0121020400-C"	64.3925471921985	64.609469113725	64.5010081529617	2	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0121020500-1-C"	64.1374588655622	64.347386713778	64.2424227896701	2	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0121020500-2-C"	63.9098838259665	64.270570963956	64.0902273949612	2	"NO3_winter"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0130000030-1-C"	63.9175688550713	74.7910033558192	67.5346141118325	150	"NO3_winter"	"[µg-N/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0130000031-1-C"	69.1307579962055	74.2186807728885	70.7491467895442	13	"NO3_winter"	"[µg-N/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0130000031-4-C"	69.0809725000617	72.6153693359889	70.6814956861489	6	"NO3_winter"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0130000102-1-C"	63.2955221888724	63.5213387575042	63.3897884526056	3	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0130000102-2-C"	63.5006457687764	64.4652880523982	63.9580149596997	7	"NO3_winter"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0130000200-1-C"	71.0662537960524	71.0662537960524	71.0662537960524	1	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
"0130000300-C"	69.2447693964069	69.5254133738828	69.4288369109122	4	"NO3_winter"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Nitrat-nitrogen (µg N/l), vinter"	NA	NA	97	125	225	350	NA	5	0.9	"High"
