"EUVannfore";"Vannforeko";"Vannfore_1";"Vannregion";"Vannregi_1";"Salinity";"Type"
"NO0132010400-C";"0132010400-C";"Kåfjorden";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0110021101-2-C";"0110021101-2-C";"Kilsfjorden - Høyåsen";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0101030400-C";"0101030400-C";"Årøysund - Hvasser";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S2"
"NO0101030800-C";"0101030800-C";"Røssesundet";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0120030600-2-C";"0120030600-2-C";"Hovekilen-indre";"Agder";"Agder";NA;NA
"NO0131000030-C";"0131000030-C";"Songvårfjorden - Hellefjorden";"Agder";"Agder";"Skagerak (> 25)";"S1"
"NO0110021103-C";"0110021103-C";"Barlandkilen";"Buskerud";"Vest-Viken";NA;NA
"NO0121020500-1-C";"0121020500-1-C";"Bliksfjorden";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0201010600-C";"0201010600-C";"Indre Spindsfjorden";"Agder";"Agder";"Polyhalin (18 - 30)";"N4"
"NO0131010400-C";"0131010400-C";"Kumlefjorden";"Agder";"Agder";NA;NA
"NO0130010700-C";"0130010700-C";"Vestergapet-indre";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0131010300-C";"0131010300-C";"Trysfjorden";"Agder";"Agder";NA;NA
"NO0201021000-C";"0201021000-C";"Berrefjord";"Agder";"Agder";NA;NA
"NO0131020300-C";"0131020300-C";"Hellefjorden";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0110000031-C";"0110000031-C";"Jomfruland-nordøst";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S1"
"NO0101020500-C";"0101020500-C";"Hurum";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0130010202-C";"0130010202-C";"Randøysund-indre";"Agder";"Agder";NA;NA
"NO0120030201-2-C";"0120030201-2-C";"Tromøysundet";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0120020203-C";"0120020203-C";"Kåkvåg";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0120020600-C";"0120020600-C";"Eikelandsfjorden";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0132030600-C";"0132030600-C";"Kirkevågen";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0201011400-C";"0201011400-C";"Lundevågen";"Agder";"Agder";"Euhalin (> 30)";"N3"
"NO0201020400-C";"0201020400-C";"Stolsfjorden";"Agder";"Agder";"Euhalin (> 30)";"N3"
"NO0120030202-2-C";"0120030202-2-C";"Tromøysundet - Bekkevika";"Agder";"Agder";NA;NA
"NO0101020801-C";"0101020801-C";"Drammensfjorden-indre";"Buskerud";"Vest-Viken";"Skagerak (5 - 25)";"S5"
"NO0101030101-1-C";"0101030101-1-C";"Træla";"Buskerud";"Vest-Viken";"Skagerak (5 - 25)";"S5"
"NO0120030400-C";"0120030400-C";"Nidelven";"Agder";"Agder";NA;NA
"NO0130010301-1-C";"0130010301-1-C";"Østergapet-ytre";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0101030600-C";"0101030600-C";"Tjøme - Holtekjærkilen";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0132030700-C";"0132030700-C";"Ramslandsvågen";"Agder";"Agder";NA;NA
"NO0110010200-C";"0110010200-C";"Mørjefjorden";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0201010300-C";"0201010300-C";"Rosfjorden";"Agder";"Agder";"Polyhalin (18 - 30)";"N4"
"NO0130010203-C";"0130010203-C";"Stølekilen";"Agder";"Agder";NA;NA
"NO0201010100-C";"0201010100-C";"Lenefjorden";"Agder";"Agder";NA;NA
"NO0101030200-C";"0101030200-C";"Husøyflaket";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0101010305-C";"0101010305-C";"Skjebergkilen";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0101020602-C";"0101020602-C";"Sandvika";"Østfold";"Glomma";"Skagerak (5 - 25)";"S5"
"NO0201020200-C";"0201020200-C";"Eidsfjorden";"Agder";"Agder";"Euhalin (> 30)";"N2"
"NO0131020202-C";"0131020202-C";"Buøysund-ytre";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0110000100-C";"0110000100-C";"Hummerbakfjorden";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S2"
"NO0101010500-C";"0101010500-C";"Lera";"Østfold";"Glomma";"Skagerak (> 25)";"S1"
"NO0201010700-2-C";"0201010700-2-C";"Indre Spindsfjorden - Farsund";"Agder";"Agder";"Euhalin (> 30)";"N3"
"NO0201010800-C";"0201010800-C";"Lyngdalsfjord-ytre";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0121000031-C";"0121000031-C";"Hesneskanalen - Hasseltangen";"Agder";"Agder";"Skagerak (> 25)";"S2"
"NO0201000031-C";"0201000031-C";"Flekkefjord-ytre";"Agder";"Agder";"Euhalin (> 30)";"N1"
"NO0101020102-1-C";"0101020102-1-C";"Hankøsundet";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0110021200-C";"0110021200-C";"Skåtøybukta";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S2"
"NO0101020701-5-C";"0101020701-5-C";"Bunnefjorden";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0121020300-C";"0121020300-C";"Blindleia - Kjøbmannsvig";"Agder";"Agder";NA;NA
"NO0121020201-C";"0121020201-C";"Steindalsfjorden";"Agder";"Agder";NA;NA
"NO0121020202-C";"0121020202-C";"Steindalsfjord-ytre";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0120020300-C";"0120020300-C";"Hagefjorden";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0121020600-2-C";"0121020600-2-C";"Isefjærfjorden - Knabesund";"Agder";"Agder";NA;NA
"NO0110000030-C";"0110000030-C";"Langesundsbukta-ytre";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S1"
"NO0131020100-C";"0131020100-C";"Harkmarkfjorden";"Agder";"Agder";NA;NA
"NO0201010500-C";"0201010500-C";"Spindfjorden";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0120000030-C";"0120000030-C";"Ellingsvikskjer - Sildodden";"Agder";"Agder";"Skagerak (> 25)";"S1"
"NO0201020100-2-C";"0201020100-2-C";"Listafjord - Kinna";"Agder";"Agder";NA;NA
"NO0121000700-C";"0121000700-C";"Bufjorden";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0121020600-1-C";"0121020600-1-C";"Isefjærfjorden";"Agder";"Agder";NA;NA
"NO0201020800-C";"0201020800-C";"Hidrasundet";"Agder";"Agder";"Euhalin (> 30)";"N2"
"NO0120030201-1-C";"0120030201-1-C";"Hasteinsundet";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0201020302-C";"0201020302-C";"Fedafjord-ytre";"Agder";"Agder";"Mesohalin (5 - 18)";"N5"
"NO0120010400-C";"0120010400-C";"Risørleia";"Agder";"Agder";"Skagerak (> 25)";"S2"
"NO0101020900-C";"0101020900-C";"Sandebukta";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0130000102-1-C";"0130000102-1-C";"Kvåsefjorden - Kvarenesfjorden";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0201010400-C";"0201010400-C";"Skarvøy";"Agder";"Agder";"Euhalin (> 30)";"N2"
"NO0120020201-C";"0120020201-C";"Sandøyfjorden";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0121000030-C";"0121000030-C";"Grimstad-ytre";"Agder";"Agder";"Skagerak (> 25)";"S1"
"NO0121000400-C";"0121000400-C";"Morvigkilen";"Agder";"Agder";NA;NA
"NO0130000300-C";"0130000300-C";"Hellesundfjorden";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0101020802-C";"0101020802-C";"Drammensfjorden-ytre";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0110020800-2-C";"0110020800-2-C";"Bærøyfjorden - Kragerø";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0101030102-1-C";"0101030102-1-C";"Tønsbergfjorden - Tjømekjæla";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0110020200-C";"0110020200-C";"Fossingfjorden";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0131010100-3-C";"0131010100-3-C";"Torvefjorden";"Agder";"Agder";NA;NA
"NO0110000038-2-C";"0110000038-2-C";"Prisgrunnbukta";"Buskerud";"Vest-Viken";"Skagerak (> 25)";NA
"NO0132010202-C";"0132010202-C";"Skogsfjord-ytre";"Agder";"Agder";NA;NA
"NO0110000033-1-C";"0110000033-1-C";"Langesundsbukta-indre";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S1"
"NO0110010702-C";"0110010702-C";"Gunnekleivfjorden";"Buskerud";"Vest-Viken";NA;NA
"NO0101010304-C";"0101010304-C";"Grimsøykilen";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0120030202-1-C";"0120030202-1-C";"Neskilen - Rånehølen";"Agder";"Agder";NA;NA
