"version";"WB";"Period";"scenario";"Biological";"Supporting";"EQR";"Status";"Worst_Biological";"Worst_Supporting";"sup_sommer";"sup_vinter";"sup_org"
"2018";"0101020105-C";"2017-2019";"baseline";0.690630811438612;NA;0.690630811438612;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020105-C";"2017-2019";"Pristine";0.708074661294728;NA;0.708074661294728;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020105-C";"2017-2019";"Scenario A";0.706769360235388;NA;0.706769360235388;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020105-C";"2017-2019";"Scenario B";0.705406188259948;NA;0.705406188259948;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020200-1-C";"2017-2019";"baseline";0.669213744994714;NA;0.669213744994714;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020200-1-C";"2017-2019";"Pristine";0.688843855914044;NA;0.688843855914044;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020200-1-C";"2017-2019";"Scenario A";0.692603836361049;NA;0.692603836361049;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020200-1-C";"2017-2019";"Scenario B";0.701978899816048;NA;0.701978899816048;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020200-2-C";"2017-2019";"baseline";0.66275465950998;NA;0.66275465950998;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020200-2-C";"2017-2019";"Pristine";0.668127157446798;NA;0.668127157446798;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020200-2-C";"2017-2019";"Scenario A";0.689114332438897;NA;0.689114332438897;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020200-2-C";"2017-2019";"Scenario B";0.697621772929023;NA;0.697621772929023;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020300-1-C";"2017-2019";"baseline";0.660570429110187;NA;0.660570429110187;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020300-1-C";"2017-2019";"Pristine";0.674202464749205;NA;0.674202464749205;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020300-1-C";"2017-2019";"Scenario A";0.674909568706515;NA;0.674909568706515;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020300-1-C";"2017-2019";"Scenario B";0.691650900166846;NA;0.691650900166846;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020300-2-C";"2017-2019";"baseline";0.634516227452785;NA;0.634516227452785;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020300-2-C";"2017-2019";"Pristine";0.67208607171869;NA;0.67208607171869;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020300-2-C";"2017-2019";"Scenario A";0.669201857715036;NA;0.669201857715036;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020300-2-C";"2017-2019";"Scenario B";0.682154684525155;NA;0.682154684525155;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020400-3-C";"2017-2019";"baseline";0.589684466520945;NA;0.589684466520945;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101020400-3-C";"2017-2019";"Pristine";0.693225562572479;NA;0.693225562572479;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020400-3-C";"2017-2019";"Scenario A";0.626717070738474;NA;0.626717070738474;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020400-3-C";"2017-2019";"Scenario B";0.630892872810364;NA;0.630892872810364;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020500-C";"2017-2019";"baseline";0.622058866612705;NA;0.622058866612705;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020500-C";"2017-2019";"Pristine";0.637831789891127;NA;0.637831789891127;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020500-C";"2017-2019";"Scenario A";0.632028818520084;NA;0.632028818520084;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020500-C";"2017-2019";"Scenario B";0.632826157140406;NA;0.632826157140406;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020601-C";"2017-2019";"baseline";0.568098311819786;NA;0.568098311819786;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020601-C";"2017-2019";"Pristine";0.609605837790708;NA;0.609605837790708;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020601-C";"2017-2019";"Scenario A";0.573943689018366;NA;0.573943689018366;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020601-C";"2017-2019";"Scenario B";0.578801161517342;NA;0.578801161517342;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020602-C";"2017-2019";"baseline";0.565569500166525;NA;0.565569500166525;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101020602-C";"2017-2019";"Pristine";0.567344457615292;NA;0.567344457615292;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101020602-C";"2017-2019";"Scenario A";0.554705930436316;NA;0.554705930436316;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101020602-C";"2017-2019";"Scenario B";0.551505468865709;NA;0.551505468865709;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101020603-C";"2017-2019";"baseline";0.571891116429175;NA;0.571891116429175;"Mod";"Makroalger";NA;NA;NA;NA
