"WB";"Period";"scenario";"Biological";"Supporting";"EQR";"Status";"Worst_Biological";"Worst_Supporting"
"0101010401-C";"2017-2019";"DINTSM100pc";0.693965446287206;0.836766275516812;0.693965446287206;"Good";"Planteplankton";"Siktdyp"
"0101010401-C";"2017-2019";"NTSM100pc";0.705484046512921;0.83957727338175;0.705484046512921;"Good";"Planteplankton";"Siktdyp"
"0101010401-C";"2017-2019";"Scenario A";0.678053442303496;0.664320608872367;0.678053442303496;"Good";"Planteplankton";"NO3-N sommer"
"0101010401-C";"2017-2019";"Scenario B";0.674173357377709;0.695400525958783;0.674173357377709;"Good";"Planteplankton";"Siktdyp"
"0101010405-C";"2017-2019";"baseline";0.766250133910121;0.53086891924875;0.566250133910121;"Mod";"Planteplankton";"Oksygen"
"0101010405-C";"2017-2019";"DIN100pc";0.773017382967782;0.749642185720677;0.773017382967782;"Good";"Planteplankton";"Oksygen"
"0101010405-C";"2017-2019";"DINP100pc";0.779088280974366;0.785937018106126;0.779088280974366;"Good";"Planteplankton";"Oksygen"
"0101010405-C";"2017-2019";"DINTSM100pc";0.688105347099552;0.807457505254535;0.688105347099552;"Good";"Planteplankton";"Siktdyp"
"0101010405-C";"2017-2019";"NTSM100pc";0.692862556616441;0.808115762328316;0.692862556616441;"Good";"Planteplankton";"Siktdyp"
"0101010405-C";"2017-2019";"Scenario A";0.695145134149568;0.582672662744816;0.582672662744816;"Mod";"Planteplankton";"Oksygen"
"0101010405-C";"2017-2019";"Scenario B";0.682605389614939;0.627861357462652;0.682605389614939;"Good";"Planteplankton";"Oksygen"
"0101010406-C";"2017-2019";"baseline";0.732674853006999;0.729345895600898;0.732674853006999;"Good";"Planteplankton";"NO3-N sommer"
"0101010406-C";"2017-2019";"DIN100pc";0.799368731180827;0.842954422615356;0.799368731180827;"Good";"Planteplankton";"Siktdyp"
"0101010406-C";"2017-2019";"DINP100pc";0.799522240956624;0.852865235158223;0.799522240956624;"Good";"Planteplankton";"Siktdyp"
"0101010406-C";"2017-2019";"DINTSM100pc";0.776012706756592;0.867351197355639;0.776012706756592;"Good";"Planteplankton";"TP vinter"
"0101010406-C";"2017-2019";"NTSM100pc";0.78995893796285;0.869416718728371;0.78995893796285;"Good";"Planteplankton";"TP vinter"
"0101010406-C";"2017-2019";"Scenario A";0.762451696395874;0.764602029754718;0.762451696395874;"Good";"Planteplankton";"NO3-N sommer"
"0101010406-C";"2017-2019";"Scenario B";0.771263742446899;0.799223166987195;0.771263742446899;"Good";"Planteplankton";"TP vinter"
"0101010407-C";"2017-2019";"baseline";0.690226402877424;0.645513797760062;0.690226402877424;"Good";"Planteplankton";"NO3-N sommer"
"0101010407-C";"2017-2019";"DIN100pc";0.743768323719236;0.828057588570982;0.743768323719236;"Good";"Planteplankton";"Siktdyp"
"0101010407-C";"2017-2019";"DINP100pc";0.748346068595145;0.847124138247757;0.748346068595145;"Good";"Planteplankton";"Siktdyp"
"0101010407-C";"2017-2019";"DINTSM100pc";0.686484179387198;0.857060761697162;0.686484179387198;"Good";"Planteplankton";"Siktdyp"
"0101010407-C";"2017-2019";"NTSM100pc";0.703947516623372;0.859621396210014;0.703947516623372;"Good";"Planteplankton";"Siktdyp"
"0101010407-C";"2017-2019";"Scenario A";0.673830188922539;0.683956790955324;0.673830188922539;"Good";"Planteplankton";"NO3-N sommer"
"0101010407-C";"2017-2019";"Scenario B";0.667118635659669;0.718729273493945;0.667118635659669;"Good";"Planteplankton";"Siktdyp"
"0101010408-C";"2017-2019";"baseline";0.721480442346321;0.660388504938561;0.721480442346321;"Good";"Planteplankton";"Siktdyp"
"0101010408-C";"2017-2019";"DIN100pc";0.762734637481398;0.798124326966847;0.762734637481398;"Good";"Planteplankton";"Siktdyp"
"0101010408-C";"2017-2019";"DINP100pc";0.764703329665419;0.809649688781627;0.764703329665419;"Good";"Planteplankton";"Siktdyp"
"0101010408-C";"2017-2019";"DINTSM100pc";0.709713164698114;0.849450041073513;0.709713164698114;"Good";"Planteplankton";"Oksygen"
"0101010408-C";"2017-2019";"NTSM100pc";0.724162403176956;0.852606635085328;0.724162403176956;"Good";"Planteplankton";"Oksygen"
"0101010408-C";"2017-2019";"Scenario A";0.700989915777613;0.69608185228437;0.700989915777613;"Good";"Planteplankton";"NO3-N sommer"
"0101010408-C";"2017-2019";"Scenario B";0.699345254898098;0.72541216594482;0.699345254898098;"Good";"Planteplankton";"Siktdyp"
"0101010500-C";"2017-2019";"baseline";0.881763910971627;0.692574431809864;0.692574431809864;"Good";"Planteplankton";"Siktdyp"
"0101010500-C";"2017-2019";"DIN100pc";0.921769787719678;0.814037033329683;0.921769787719678;"High";"Planteplankton";"Siktdyp"
"0101010500-C";"2017-2019";"DINP100pc";0.921914293154769;0.824229514874083;0.921914293154769;"High";"Planteplankton";"Siktdyp"
"0101010500-C";"2017-2019";"DINTSM100pc";0.89423811307682;0.854223262353654;0.89423811307682;"High";"Planteplankton";"TP vinter"
"0101010500-C";"2017-2019";"NTSM100pc";0.904722478826346;0.855293475445124;0.904722478826346;"High";"Planteplankton";"TP vinter"
"0101010500-C";"2017-2019";"Scenario A";0.940420725780513;0.709051354154268;0.740420725780513;"Good";"Planteplankton";"NO3-N sommer"
"0101010500-C";"2017-2019";"Scenario B";0.940761215557391;0.737344286541584;0.740761215557391;"Good";"Planteplankton";"Siktdyp"
"0101020101-1-C";"2017-2019";"baseline";0.790409580569325;0.78840300692034;0.790409580569325;"Good";"Planteplankton";"Oksygen"
"0101020101-1-C";"2017-2019";"DIN100pc";0.797166651021762;0.851251082277386;0.797166651021762;"Good";"Planteplankton";"Oksygen"
"0101020101-1-C";"2017-2019";"DINP100pc";0.796640114683821;0.855638385031095;0.796640114683821;"Good";"Planteplankton";"Oksygen"
"0101020101-1-C";"2017-2019";"DINTSM100pc";0.824899251526787;0.864876021909342;0.824899251526787;"High";"Planteplankton";"Oksygen"
"0101020101-1-C";"2017-2019";"NTSM100pc";0.844406100392843;0.865807674874176;0.844406100392843;"High";"Planteplankton";"Oksygen"
"0101020101-1-C";"2017-2019";"Scenario A";0.929725339043216;0.802588945041908;0.929725339043216;"High";"Planteplankton";"Oksygen"
"0101020101-1-C";"2017-2019";"Scenario B";0.932590305304307;0.822993316775379;0.932590305304307;"High";"Planteplankton";"Oksygen"
"0101020101-2-C";"2017-2019";"baseline";0.830438146926699;0.78261990042051;0.78261990042051;"Good";"Planteplankton";"Oksygen"
"0101020101-2-C";"2017-2019";"DIN100pc";0.861906255845233;0.841673513552197;0.861906255845233;"High";"Planteplankton";"Oksygen"
"0101020101-2-C";"2017-2019";"DINP100pc";0.862083709965767;0.845891555022793;0.862083709965767;"High";"Planteplankton";"Oksygen"
"0101020101-2-C";"2017-2019";"DINTSM100pc";0.878091108944428;0.858847187295744;0.878091108944428;"High";"Planteplankton";"Oksygen"
"0101020101-2-C";"2017-2019";"NTSM100pc";0.888113681272281;0.859891528964515;0.888113681272281;"High";"Planteplankton";"Oksygen"
"0101020101-2-C";"2017-2019";"Scenario A";0.955451037160084;0.799306873735615;0.799306873735615;"Good";"Planteplankton";"Oksygen"
"0101020101-2-C";"2017-2019";"Scenario B";0.960275433190967;0.818472049297792;0.960275433190967;"High";"Planteplankton";"Oksygen"
"0101020102-1-C";"2017-2019";"baseline";0.78077286084493;0.755988443325221;0.78077286084493;"Good";"Planteplankton";"Siktdyp"
"0101020102-1-C";"2017-2019";"DIN100pc";0.884839057922363;0.833511972266611;0.884839057922363;"High";"Planteplankton";"Siktdyp"
"0101020102-1-C";"2017-2019";"DINP100pc";0.884816789627075;0.838914427740359;0.884816789627075;"High";"Planteplankton";"Siktdyp"
"0101020102-1-C";"2017-2019";"DINTSM100pc";0.882023668289185;0.856878233943135;0.882023668289185;"High";"Planteplankton";"Oksygen"
"0101020102-1-C";"2017-2019";"NTSM100pc";0.89486870765686;0.858147295059921;0.89486870765686;"High";"Planteplankton";"Oksygen"
"0101020102-1-C";"2017-2019";"Scenario A";0.949113607406616;0.774685562924834;0.774685562924834;"Good";"Planteplankton";"NO3-N sommer"
"0101020102-1-C";"2017-2019";"Scenario B";0.962789583206177;0.795574669538122;0.795574669538122;"Good";"Planteplankton";"Oksygen"
"0101020102-2-C";"2017-2019";"baseline";0.758192363434104;0.749989718082645;0.758192363434104;"Good";"Planteplankton";"Siktdyp"
"0101020102-2-C";"2017-2019";"DIN100pc";0.810112101208766;0.836049324314558;0.810112101208766;"High";"Planteplankton";"Siktdyp"
"0101020102-2-C";"2017-2019";"DINP100pc";0.810073635700028;0.84282810212209;0.810073635700028;"High";"Planteplankton";"Siktdyp"
"0101020102-2-C";"2017-2019";"DINTSM100pc";0.796684385628668;0.859519569000099;0.796684385628668;"Good";"Planteplankton";"Oksygen"
"0101020102-2-C";"2017-2019";"NTSM100pc";0.810016119871141;0.860661616180942;0.810016119871141;"High";"Planteplankton";"Oksygen"
