"WB";"Indicator";"Period";"Value";"Type";"Salinity";"Kvalitetselement";"Indikator";"Ref";"HG";"GM";"MP";"PB";"Worst";"EQR";"Status";"StatusVN";"EQR_VN";"ParameterVN"
"0101000032-2-C";"H";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Moderat";0.5;"Shannon-Wiener diversitetsindeks H for grabbgjennomsnitt"
"0101000032-2-C";"NQI1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Dårlig";0.3;"Norsk kvalitetsindeks NQI1 marin bløtbunnsfauna/Norsk kvalitetsindeks NQI1 for grabbgjennomsnitt"
"0101000032-2-C";"TP_summer";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Moderat";0.5;"Totalfosfor"
"0101000032-2-C";"TP_winter";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Moderat";0.5;"Totalfosfor"
"0101000032-3-C";"MSMDI";"2017";0.67015287398197;"S1";"Skagerak (> 25)";"Makroalger";"MSMDI (Nedre voksegrense) - EQR";1;0.8;0.6;0.4;0.2;0;0.67015287398197;"Good";"Moderat";0.5;"Maksdypindeks makroalger, åpen eksponert kyst MSMDI1"
"0101000032-3-C";"MSMDI";"2018";0.646280214152302;"S1";"Skagerak (> 25)";"Makroalger";"MSMDI (Nedre voksegrense) - EQR";1;0.8;0.6;0.4;0.2;0;0.646280214152302;"Good";"Moderat";0.5;"Maksdypindeks makroalger, åpen eksponert kyst MSMDI1"
"0101000032-3-C";"MSMDI";"2019";0.544390537413647;"S1";"Skagerak (> 25)";"Makroalger";"MSMDI (Nedre voksegrense) - EQR";1;0.8;0.6;0.4;0.2;0;0.544390537413647;"Moderate";"Moderat";0.5;"Maksdypindeks makroalger, åpen eksponert kyst MSMDI1"
"0101000032-3-C";"MSMDI";"2017-2019";0.620274541849306;"S1";"Skagerak (> 25)";"Makroalger";"MSMDI (Nedre voksegrense) - EQR";1;0.8;0.6;0.4;0.2;0;0.620274541849306;"Good";"Moderat";0.5;"Maksdypindeks makroalger, åpen eksponert kyst MSMDI1"
"0101000032-4-C";"MSMDI";"2017";0.61070974592892;"S1";"Skagerak (> 25)";"Makroalger";"MSMDI (Nedre voksegrense) - EQR";1;0.8;0.6;0.4;0.2;0;0.61070974592892;"Good";"Moderat";0.5;"Maksdypindeks makroalger, åpen eksponert kyst MSMDI1"
"0101000032-4-C";"MSMDI";"2018";0.612046506634902;"S1";"Skagerak (> 25)";"Makroalger";"MSMDI (Nedre voksegrense) - EQR";1;0.8;0.6;0.4;0.2;0;0.612046506634902;"Good";"Moderat";0.5;"Maksdypindeks makroalger, åpen eksponert kyst MSMDI1"
"0101000032-4-C";"MSMDI";"2019";0.497539317303283;"S1";"Skagerak (> 25)";"Makroalger";"MSMDI (Nedre voksegrense) - EQR";1;0.8;0.6;0.4;0.2;0;0.497539317303283;"Moderate";"Moderat";0.5;"Maksdypindeks makroalger, åpen eksponert kyst MSMDI1"
"0101000032-4-C";"MSMDI";"2017-2019";0.573431856622368;"S1";"Skagerak (> 25)";"Makroalger";"MSMDI (Nedre voksegrense) - EQR";1;0.8;0.6;0.4;0.2;0;0.573431856622368;"Moderate";"Moderat";0.5;"Maksdypindeks makroalger, åpen eksponert kyst MSMDI1"
"0101010202-1-C";"H";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Moderat";0.5;"Shannon-Wiener diversitetsindeks H for grabbgjennomsnitt"
"0101010202-1-C";"NQI1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Moderat";0.5;"Norsk kvalitetsindeks NQI1 for grabbgjennomsnitt"
"0101010202-1-C";"TN_summer";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Moderat";0.5;"Totalnitrogen"
"0101010202-1-C";"TN_winter";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Moderat";0.5;"Totalnitrogen"
"0101010202-1-C";"TP_summer";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Dårlig";0.3;"Totalfosfor"
"0101010202-1-C";"TP_winter";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Dårlig";0.3;"Totalfosfor"
