EUVANNFOREKOMSTID;VANNFOREKOMSTID;VANNFOREKOMSTNAVN
NO0131010300-C;0131010300-C;Trysfjorden
NO0201021000-C;0201021000-C;Berrefjord
NO0303021102-C;0303021102-C;Solskjelsvågen
NO0261030300-2-C;0261030300-2-C;Herdlefjorden-søndre
NO0131020300-C;0131020300-C;Hellefjorden
NO0261030602-C;0261030602-C;Hopelandsosen
NO0403020900-C;0403020900-C;Nordlenangen - Straumen
NO0260020802-C;0260020802-C;Høylandsundet-nord
NO0110000031-C;0110000031-C;Jomfruland-nordøst
NO0362040100-C;0362040100-C;Meløyvær
NO0101020500-C;0101020500-C;Hurum
NO0402010700-C;0402010700-C;Målselvfjorden
NO0130010202-C;0130010202-C;Randøysund-indre
NO0341000032-C;0341000032-C;Hunnestadsjøen
NO0120030201-2-C;0120030201-2-C;Tromøysundet
NO0423011300-C;0423011300-C;Vestertana
NO0120020203-C;0120020203-C;Kåkvåg
NO0120020600-C;0120020600-C;Eikelandsfjorden
NO0132030600-C;0132030600-C;Kirkevågen
NO0363010800-3-C;0363010800-3-C;Holmsundfjorden
NO0363010100-C;0363010100-C;Fugløyvær
NO0420020900-C;0420020900-C;Bårdfjorden
NO0242041000-C;0242041000-C;Åkrehamn
NO0201011400-C;0201011400-C;Lundevågen
NO0320040800-4-C;0320040800-4-C;Gaulosen
NO0320040500-3-C;0320040500-3-C;Kvithyll havn
NO0320040800-5-C;0320040800-5-C;Buvika
NO0301011700-3-C;0301011700-3-C;Herøyfjorden - Røyrasundet
NO0301011400-2-C;0301011400-2-C;Fosnavåg
NO0301011400-3-C;0301011400-3-C;Holmefjorden
NO0322020100-C;0322020100-C;Sørjerfjorden
NO0260050500-C;0260050500-C;Fusa-/Bjørnafjorden
NO0364050600-C;0364050600-C;Leirosen
NO0301011700-2-C;0301011700-2-C;Frøystadvågen
NO0363050600-C;0363050600-C;Værøy-ytre
NO0403020100-C;0403020100-C;Fugløyfjorden
NO0201020400-C;0201020400-C;Stolsfjorden
NO0360010700-2-C;0360010700-2-C;Sørfjorden-midtre
NO0322030300-C;0322030300-C;Svesfjorden
NO0242031000-C;0242031000-C;Krossfjorden
NO0360020800-C;0360020800-C;Trongnessundet
NO0363000030-5-C;0363000030-5-C;Vestervågen
NO0364021000-C;0364021000-C;Sildpollen
NO0320030101-C;0320030101-C;Hemnfjorden
NO0261040602-C;0261040602-C;Sandesosen
NO0363030602-1-C;0363030602-1-C;Revsfjorden
NO0260040102-C;0260040102-C;Laukhammarsundet
NO0362010900-C;0362010900-C;Røssåen
NO0302011300-2-C;0302011300-2-C;Vågstrandapollen
NO0403040103-C;0403040103-C;Badderfjorden
NO0424030100-C;0424030100-C;Kjøfjorden-ytre
NO0261010901-C;0261010901-C;Austefjorden
NO0242011300-C;0242011300-C;Frafjorden
NO0120030202-2-C;0120030202-2-C;Tromøysundet - Bekkevika
NO0101020801-C;0101020801-C;Drammensfjorden-indre
NO0361050700-C;0361050700-C;Kverva
NO0301021600-C;0301021600-C;Ellingsøyfjorden - indre
NO0424020700-C;0424020700-C;Jarfjorden
NO0365010501-C;0365010501-C;Lonkanfjorden-indre
NO0361020500-1-C;0361020500-1-C;Langfjorden-indre
NO0365030100-2-C;0365030100-2-C;Myre havn
NO0101030101-1-C;0101030101-1-C;Træla
NO0303011504-C;0303011504-C;Sunsfjorden
NO0364021202-7-C;0364021202-7-C;Efjorden-indre
NO0403020200-C;0403020200-C;Burøysundet
NO0363021101-C;0363021101-C;Valnesfjordvatnet
NO0361020100-1-C;0361020100-1-C;Anddalsvågen
NO0360020400-1-C;0360020400-1-C;Tverrøya
NO0363020200-2-C;0363020200-2-C;Fjellvika
NO0120030400-C;0120030400-C;Nidelven
NO0302012202-C;0302012202-C;Fannefjord midtre
NO0402020401-1-C;0402020401-1-C;Indre Kaldfjord
NO0241000030-C;0241000030-C;Jærensrev-syd
NO0364050101-C;0364050101-C;Innerfjorden
NO0362040700-2-C;0362040700-2-C;Bogen
NO0360010600-1-C;0360010600-1-C;Bindalsfjorden
NO0301020801-C;0301020801-C;Sunnylvsfjorden-indre
NO0363041800-2-C;0363041800-2-C;Olderfjorden-ytre
NO0420010100-C;0420010100-C;Frakkfjorden
NO0301021204-C;0301021204-C;Tørlevågen
NO0361020800-1-C;0361020800-1-C;Lislfjorden
NO0130010301-1-C;0130010301-1-C;Østergapet-ytre
NO0321030300-C;0321030300-C;Oldfjorden
NO0101030600-C;0101030600-C;Tjøme - Holtekjærkilen
NO0302012100-C;0302012100-C;Karlsøyfjorden
NO0132030700-C;0132030700-C;Ramslandsvågen
NO0110010200-C;0110010200-C;Mørjefjorden
NO0301020803-C;0301020803-C;Sunnylvsfjorden-ytre
NO0281010201-1-C;0281010201-1-C;Førdefjorden-midtre
NO0301010100-C;0301010100-C;Kjødepollen
NO0365011100-5-C;0365011100-5-C;Alsvågen
NO0260030400-C;0260030400-C;Storebø
NO0201010300-C;0201010300-C;Rosfjorden
NO0242000031-C;0242000031-C;Boknafjord-ytre
NO0130010203-C;0130010203-C;Stølekilen
NO0420021700-C;0420021700-C;Slettnes
NO0360020200-C;0360020200-C;Nordbotnet
NO0403040101-C;0403040101-C;Kvænangsbotnen
NO0320041000-3-C;0320041000-3-C;Muruvika
NO0363041300-C;0363041300-C;Flaget
NO0363011200-2-C;0363011200-2-C;Bodø Havn
NO0364020603-C;0364020603-C;Indre Tysfjorden
NO0242031500-C;0242031500-C;Boknafjorden
NO0341020300-C;0341020300-C;Oppløyfjorden
NO0282011800-C;0282011800-C;Gloppefjorden
NO0403010900-C;0403010900-C;Langsundet
NO0421011000-C;0421011000-C;Mafjorden
NO0361010200-C;0361010200-C;Vågøyfjorden
NO0303011201-C;0303011201-C;Omsund-øst
NO0363040700-2-C;0363040700-2-C;Torsfjorden-indre
NO0321040202-C;0321040202-C;Kråkfjorden
NO0364040400-C;0364040400-C;Kjerfjorden
NO0201010100-C;0201010100-C;Lenefjorden
NO0420021400-C;0420021400-C;Akkarfjorden
NO0361050900-C;0361050900-C;Skipbåtsværfjorden
NO0101030200-C;0101030200-C;Husøyflaket
NO0402020300-C;0402020300-C;Vengsøyfjorden
NO0361040700-2-C;0361040700-2-C;Sandnessjøen havn
NO0341010101-2-C;0341010101-2-C;Løgnin-indre
NO0322020202-C;0322020202-C;Brattjerfjorden-indre
NO0364010300-C;0364010300-C;Skjettenfjorden
NO0341011400-1-C;0341011400-1-C;Raudsunda
NO0362020500-4-C;0362020500-4-C;Kvina
NO0423020102-C;0423020102-C;Kongsfjorden
NO0301011206-C;0301011206-C;Steinsfjorden
NO0101010305-C;0101010305-C;Skjebergkilen
NO0361020400-C;0361020400-C;Heggefjorden
NO0242011102-C;0242011102-C;Botnefjorden
NO0363040802-C;0363040802-C;Skjelfjorden-ytre
NO0364040300-2-C;0364040300-2-C;Tjeldsundet-indre
NO0341000034-C;0341000034-C;Langsundet-ytre
NO0364000030-7-C;0364000030-7-C;Storpollen
NO0401020500-2-C;0401020500-2-C;Harstad havneområde
NO0320041700-C;0320041700-C;Hjellbotn
NO0363031500-C;0363031500-C;Stavfjorden
NO0420022600-C;0420022600-C;Hasfjorden
NO0101020602-C;0101020602-C;Sandvika
NO0362020300-C;0362020300-C;Stigfjorden
NO0280031402-C;0280031402-C;Stongfjorden-ytre
NO0242040104-C;0242040104-C;Smeasundet 
NO0201020200-C;0201020200-C;Eidsfjorden
NO0363031201-C;0363031201-C;Botnfjorden
NO0364010600-C;0364010600-C;Sagfjorden
NO0302010801-C;0302010801-C;Vestrefjorden-ytre
NO0242040601-C;0242040601-C;Førlandsfjorden-indre
NO0364021202-5-C;0364021202-5-C;Teppkilen
NO0363040300-C;0363040300-C;Forsfjorden
NO0402020402-C;0402020402-C;Kaldfjorden-ytre
NO0302012201-C;0302012201-C;Fannefjord indre
NO0341010400-C;0341010400-C;Altfjorden
NO0364021202-10-C;0364021202-10-C;Sørstraumen-vest
NO0403030502-C;0403030502-C;Kåfjorden-ytre
NO0320041200-2-C;0320041200-2-C;Eidsbotn
NO0260041200-C;0260041200-C;Osafjorden
NO0363010500-C;0363010500-C;Stavsundet
NO0422010400-C;0422010400-C;Strandbukta
NO0420020400-C;0420020400-C;Sørfjorden
NO0303020500-1-C;0303020500-1-C;Surnadalsfjorden
NO0280031300-2-C;0280031300-2-C;Askvika
NO0361040102-1-C;0361040102-1-C;Vefsnfjorden-midtre
NO0364000030-9-C;0364000030-9-C;Hestfjorden
NO0340020401-C;0340020401-C;Fløan
NO0302000030-C;0302000030-C;Landmel
NO0420010300-C;0420010300-C;Langfjorden
NO0361031000-C;0361031000-C;Hamnesleia
NO0363030900-2-C;0363030900-2-C;Sjunkfjorden-ytre
NO0364030501-2-C;0364030501-2-C;Rombaken
NO0322010200-C;0322010200-C;Beskelandsfjorden
NO0403020700-C;0403020700-C;Kjosen
NO0242040602-C;0242040602-C;Førlandsfjorden-ytre
NO0421010100-C;0421010100-C;Revsbotn-ytre
NO0361030202-4-C;0361030202-4-C;Visten-midtre
NO0363030100-1-C;0363030100-1-C;Karlsøyfjorden-søndre
NO0361030900-C;0361030900-C;Tjøtta
NO0363030601-C;0363030601-C;Sørfolda-indre
NO0361050600-C;0361050600-C;Lundstøa
NO0131020202-C;0131020202-C;Buøysund-ytre
NO0260040600-C;0260040600-C;Maurangerfjorden
NO0260040200-C;0260040200-C;Kvinnheradsfjorden
NO0280021900-C;0280021900-C;Høyangsfjorden
NO0422010100-2-C;0422010100-2-C;Porsangerfjorden-ytre
NO0303020702-C;0303020702-C;Bøfjorden
NO0402011300-C;0402011300-C;Kattfjorden
NO0360010600-2-C;0360010600-2-C;Reppsundet
NO0341020600-5-C;0341020600-5-C;Kolvereidvågen
NO0401030202-C;0401030202-C;Lysbotn
NO0402000031-C;0402000031-C;Håjafjorden - Fugløysveet
NO0261010301-C;0261010301-C;Indre Lysefjorden (Seiasundet)
NO0342000033-C;0342000033-C;Mellomvalan
NO0110000100-C;0110000100-C;Hummerbakfjorden
NO0364030700-1-C;0364030700-1-C;Bogen - Øysundet
NO0303010700-C;0303010700-C;Tingvollfjorden
NO0242030901-C;0242030901-C;Nedstrandsfjorden
NO0403010400-C;0403010400-C;Kvaløysundet
NO0362041100-C;0362041100-C;Støttafjorden - Gåsværfjorden
NO0364000030-3-C;0364000030-3-C;Svolvær
NO0360011200-1-C;0360011200-1-C;Skotnesfjorden
NO0260041300-C;0260041300-C;Ulvikfjorden
NO0242020900-C;0242020900-C;Hjelmelandsfjorden
NO0320030200-C;0320030200-C;Snillfjorden
NO0422020900-C;0422020900-C;Kjøllefjorden
NO0260041800-C;0260041800-C;Lokksundet
NO0242040101-2-C;0242040101-2-C;Karmsundet - Nordstokke
NO0101010500-C;0101010500-C;Lera
NO0341010800-C;0341010800-C;Vetterhusbotnet
NO0402010200-C;0402010200-C;Baltsfjorden
NO0343010102-C;0343010102-C;Råsa
NO0401030201-C;0401030201-C;Lysbotnvannet
NO0360010400-2-C;0360010400-2-C;Valen
NO0320040900-4-C;0320040900-4-C;Munkholmen-sør
NO0401011100-C;0401011100-C;Gryllefjorden
NO0201010700-2-C;0201010700-2-C;Indre Spindsfjorden - Farsund
NO0363042700-2-C;0363042700-2-C;Sortlandsvika
NO0421010300-C;0421010300-C;Kvalfjorden
NO0201010800-C;0201010800-C;Lyngdalsfjord-ytre
NO0363042601-C;0363042601-C;Innerpollen
NO0121000031-C;0121000031-C;Hesneskanalen - Hasseltangen
NO0242010600-C;0242010600-C;Mastrafjorden
NO0401010402-C;0401010402-C;Austerfjorden
NO0361040200-C;0361040200-C;Sundet
NO0260030500-C;0260030500-C;Heimarkpollen
NO0201000031-C;0201000031-C;Flekkefjord-ytre
NO0302011200-C;0302011200-C;Moldefjorden
NO0282011900-C;0282011900-C;Utfjorden
NO0363042000-2-C;0363042000-2-C;Vikspollen
NO0403020300-C;0403020300-C;Skipsfjorden
NO0363031000-3-C;0363031000-3-C;Tørrfjorden
NO0424010200-C;0424010200-C;Reinøysundet
NO0401010600-C;0401010600-C;Kasfjorden
NO0282010300-C;0282010300-C;Midtgulen
NO0101020102-1-C;0101020102-1-C;Hankøsundet
NO0260050600-C;0260050600-C;Eikelandsfjorden
NO0280030800-C;0280030800-C;Skifjorden
NO0342010200-2-C;0342010200-2-C;Rødsfjorden-indre
NO0280000031-C;0280000031-C;Ytre Sula - Værlandet
NO0401021102-C;0401021102-C;Sagfjorden-ytre
NO0363000030-1-C;0363000030-1-C;Tindsvågen
NO0364021202-9-C;0364021202-9-C;Leirpollen
NO0280011400-C;0280011400-C;Dalesundet
NO0401011201-C;0401011201-C;Straumsbotn
NO0110021200-C;0110021200-C;Skåtøybukta
NO0101020701-5-C;0101020701-5-C;Bunnefjorden
NO0362010500-2-C;0362010500-2-C;Ranfjorden - Sandnes
NO0121020300-C;0121020300-C;Blindleia - Kjøbmannsvig
NO0421010800-C;0421010800-C;Valfjorden
NO0301021900-C;0301021900-C;Aspevågen
NO0362040400-1-C;0362040400-1-C;Arhaugfjorden
NO0302010902-C;0302010902-C;Tomrefjorden-ytre
NO0364030100-2-C;0364030100-2-C;Ofotfjorden
NO0363042102-C;0363042102-C;Alstadpollen
NO0281000030-C;0281000030-C;Ryggsteinhavet
NO0402011100-C;0402011100-C;Straumsfjorden
NO0261010701-C;0261010701-C;Nordåsvannet
NO0365010700-C;0365010700-C;Djupfjorden
NO0121020201-C;0121020201-C;Steindalsfjorden
NO0303020900-C;0303020900-C;Arasvikfjorden
NO0342000031-C;0342000031-C;Kalvøya
NO0364020602-C;0364020602-C;Ytterpollen
NO0341030201-C;0341030201-C;Rossøystraumen
NO0363030200-C;0363030200-C;Mistfjorden
NO0422010703-C;0422010703-C;Roddenjargsjøen
NO0301011201-C;0301011201-C;Leikongbukta
NO0121020202-C;0121020202-C;Steindalsfjord-ytre
NO0282011102-C;0282011102-C;Skavøypollen
NO0303021201-C;0303021201-C;Solheimssund-indre
NO0363031800-C;0363031800-C;Balkjosen
NO0365030500-1-C;0365030500-1-C;Teistpollen
NO0301020100-C;0301020100-C;Breidsundet
NO0281011100-2-C;0281011100-2-C;Gunhildvågen - Klubbevika
NO0360021000-C;0360021000-C;Skutstøa
NO0303011301-C;0303011301-C;Dalasundet
NO0120020300-C;0120020300-C;Hagefjorden
NO0362040900-C;0362040900-C;Eidet
NO0363031300-1-C;0363031300-1-C;Brattfjorden-indre
NO0364021202-4-C;0364021202-4-C;Langvågpollen
NO0301010400-C;0301010400-C;Haugsfjorden
NO0365011100-2-C;0365011100-2-C;Strengelvåg
NO0364020601-C;0364020601-C;Sørfjorden
NO0121020600-2-C;0121020600-2-C;Isefjærfjorden - Knabesund
NO0364020800-2-C;0364020800-2-C;Fuglfjorden
NO0320020400-C;0320020400-C;Vinjefjorden-ytre
NO0363040400-C;0363040400-C;Bunesfjorden
NO0364011300-C;0364011300-C;Økssundet
NO0110000030-C;0110000030-C;Langesundsbukta-ytre
NO0280010100-C;0280010100-C;Røytingsosen
NO0365020100-1-C;0365020100-1-C;Kvalsøybugen
NO0341010101-1-C;0341010101-1-C;Løgnin-ytre
NO0363032000-C;0363032000-C;Botnfjorden
NO0363042101-C;0363042101-C;Steiropollen
NO0363041900-1-C;0363041900-1-C;Sydalspollen
NO0303020500-2-C;0303020500-2-C;Surnadalsfjorden - Surnadalsøra
NO0131020100-C;0131020100-C;Harkmarkfjorden
NO0364010701-C;0364010701-C;Straumfjordvatnet
NO0301021101-C;0301021101-C;Tafjorden-indre
NO0363020900-C;0363020900-C;Fauskevika
NO0364020400-2-C;0364020400-2-C;Grunnfjorden-ytre
NO0361030300-C;0361030300-C;Mindværfjorden
NO0422020700-C;0422020700-C;Eidsfjorden
NO0342000032-C;0342000032-C;Balfallet
NO0302011701-C;0302011701-C;Rødvenfjorden-indre
NO0363031000-1-C;0363031000-1-C;Nordfjorden
NO0363042000-4-C;0363042000-4-C;Jenndalspollen
NO0364021201-3-C;0364021201-3-C;Forsahavet
NO0260030200-C;0260030200-C;Langenuen
NO0402020200-C;0402020200-C;Sessøyfjorden
NO0201010500-C;0201010500-C;Spindfjorden
NO0242020501-C;0242020501-C;Årdalsfjord-indre
NO0120000030-C;0120000030-C;Ellingsvikskjer - Sildodden
NO0201020100-2-C;0201020100-2-C;Listafjord - Kinna
NO0423010800-C;0423010800-C;Ramsbergvika
NO0363011200-1-C;0363011200-1-C;Landegodefjorden
NO0364040300-1-C;0364040300-1-C;Fiskefjorden
NO0121000700-C;0121000700-C;Bufjorden
NO0301010302-C;0301010302-C;Vannylvsgapet
NO0402010300-1-C;0402010300-1-C;Malangen-indre
NO0362030200-C;0362030200-C;Værangen-ytre
NO0364021202-1-C;0364021202-1-C;Vallebukta-vest
NO0260041100-C;0260041100-C;Simadalsfjorden
NO0242031100-C;0242031100-C;Vindafjorden
NO0121020600-1-C;0121020600-1-C;Isefjærfjorden
NO0282000032-C;0282000032-C;Nordfjord-vest
NO0341030402-C;0341030402-C;Nordsalten - Strandafjorden
NO0201020800-C;0201020800-C;Hidrasundet
NO0422010200-C;0422010200-C;Nordvågen
NO0261030201-2-C;0261030201-2-C;Hjeltefjorden-søndre
NO0120030201-1-C;0120030201-1-C;Hasteinsundet
NO0363040200-1-C;0363040200-1-C;Reine Havn
NO0420040800-C;0420040800-C;Finnfjorden
NO0420021300-C;0420021300-C;Hammerfest Havn
NO0364050402-C;0364050402-C;Vestpollen
NO0201020302-C;0201020302-C;Fedafjord-ytre
NO0422021100-C;0422021100-C;Sandfjorden
NO0280031300-1-C;0280031300-1-C;Granesundet
NO0282010400-C;0282010400-C;Nordgulen
NO0261030100-1-C;0261030100-1-C;Ettersundsosen - Gongstøosen
NO0261010302-C;0261010302-C;Lysefjorden
NO0261010100-C;0261010100-C;Korsfjorden
NO0120010400-C;0120010400-C;Risørleia
NO0303020400-C;0303020400-C;Stangvikfjorden
NO0361020200-C;0361020200-C;Sørfjorden
NO0101020900-C;0101020900-C;Sandebukta
NO0420022700-C;0420022700-C;Hasvik
NO0403030800-C;0403030800-C;Kjølmangen
NO0422021400-C;0422021400-C;Sandfjorden
NO0363032300-1-C;0363032300-1-C;Skotsfjorden-indre
NO0282012500-C;0282012500-C;Nordpollen
NO0361030202-1-C;0361030202-1-C;Strandbukta
NO0130000102-1-C;0130000102-1-C;Kvåsefjorden - Kvarenesfjorden
NO0365011100-3-C;0365011100-3-C;Kjøravalen
NO0242040106-1-C;0242040106-1-C;Dragøya
NO0242040105-C;0242040105-C;Sunnalandsstraumen - Grønnestadvågen
NO0424030400-C;0424030400-C;Korsfjorden
NO0341010600-C;0341010600-C;Beisvågen-Vemundvikbukta
NO0242030200-C;0242030200-C;Saudafjorden
NO0201010400-C;0201010400-C;Skarvøy
NO0362030700-3-C;0362030700-3-C;Tjongsfjorden-indre
NO0361010500-C;0361010500-C;Lisøråsa
NO0120020201-C;0120020201-C;Sandøyfjorden
NO0301020601-C;0301020601-C;Nordangsfjorden-indre
NO0301011204-C;0301011204-C;Lyngnesvika
NO0360010600-4-C;0360010600-4-C;Øyfjorden
NO0320030103-C;0320030103-C;Hemnfjorden - Næløya
NO0365030500-2-C;0365030500-2-C;Ånnfjorden
NO0261010401-C;0261010401-C;Fanafjorden
NO0364010400-C;0364010400-C;Holmåkfjorden
NO0282011400-C;0282011400-C;Isefjorden
NO0362030602-1-C;0362030602-1-C;Skjåvika
NO0422020500-C;0422020500-C;Bekkarfjorden
NO0301021202-C;0301021202-C;Mauseidvågen
NO0260040700-C;0260040700-C;Hissfjorden
NO0242040200-C;0242040200-C;Sunnalandsstraumen - Drevsund
NO0420021800-C;0420021800-C;Hamnefjorden
NO0420021900-C;0420021900-C;Husfjorden
NO0320020302-1-C;0320020302-1-C;Mjosundet
NO0121000030-C;0121000030-C;Grimstad-ytre
NO0403040900-C;0403040900-C;Olderfjorden
NO0121000400-C;0121000400-C;Morvigkilen
NO0130000300-C;0130000300-C;Hellesundfjorden
NO0280011500-C;0280011500-C;Rørdalsfjorden
NO0280020300-C;0280020300-C;Ikjefjorden
NO0280020700-C;0280020700-C;Aurlandsfjorden
NO0101020802-C;0101020802-C;Drammensfjorden-ytre
NO0301011202-C;0301011202-C;Haddalsvika
NO0341030403-C;0341030403-C;Nordsalten - Eidshaugvågen
NO0110020800-2-C;0110020800-2-C;Bærøyfjorden - Kragerø
NO0420021201-C;0420021201-C;Eidvågen
NO0260050100-C;0260050100-C;Bjørnafjorden
NO0101030102-1-C;0101030102-1-C;Tønsbergfjorden - Tjømekjæla
NO0301020702-C;0301020702-C;Sykkylvsfjorden-midtre
NO0110020200-C;0110020200-C;Fossingfjorden
NO0282011101-C;0282011101-C;Vågsfjorden
NO0420022400-C;0420022400-C;Kipparfjorden
NO0340020403-C;0340020403-C;Kværnøyråsa
NO0365010601-2-C;0365010601-2-C;Sortlandsundet-sør-indre
NO0131010100-3-C;0131010100-3-C;Torvefjorden
NO0364000030-5-C;0364000030-5-C;Valastrandvågen
NO0360020400-5-C;0360020400-5-C;Syltrevågen
NO0110000038-2-C;0110000038-2-C;Prisgrunnbukta
NO0360011100-1-C;0360011100-1-C;Tosen-ytre
NO0364050801-C;0364050801-C;Hopspollen
NO0260040300-C;0260040300-C;Storsundet
NO0280021600-C;0280021600-C;Sværafjorden
NO0362011400-1-C;0362011400-1-C;Skogsleira
NO0363042300-1-C;0363042300-1-C;Nordpollen
NO0280022300-C;0280022300-C;Krakhellesundet
NO0242040102-C;0242040102-C;Karmsundet-Kopervik
NO0421031300-C;0421031300-C;Vassfjorden
NO0341010103-C;0341010103-C;Bangsundbotnet
NO0261020200-C;0261020200-C;Veafjorden
NO0132010202-C;0132010202-C;Skogsfjord-ytre
NO0242020701-C;0242020701-C;Garsundet
NO0242030301-C;0242030301-C;Sandsfjorden-Ytre
NO0260040500-C;0260040500-C;Sildafjorden
NO0363020600-2-C;0363020600-2-C;Misværfjorden-indre
NO0260000035-C;0260000035-C;Fugløysundet - Marsteinsålen
NO0365020902-2-C;0365020902-2-C;Jørnfjorden-ytre
NO0110000033-1-C;0110000033-1-C;Langesundsbukta-indre
NO0261040207-C;0261040207-C;Kilstraumen
NO0363020400-C;0363020400-C;Indre Sundan
NO0301020703-C;0301020703-C;Sykkylvsfjorden-ytre
NO0110010702-C;0110010702-C;Gunnekleivfjorden
NO0303010600-C;0303010600-C;Bergsøyfjorden
NO0364010800-4-C;0364010800-4-C;Skipvågen
NO0242030902-C;0242030902-C;Liarvika
NO0280030301-C;0280030301-C;Vilnesfjorden-indre
NO0101010304-C;0101010304-C;Grimsøykilen
NO0120030202-1-C;0120030202-1-C;Neskilen - Rånehølen
NO0365020801-2-C;0365020801-2-C;Hellfjorden-indre
NO0421000031-C;0421000031-C;Fruholmen fyr - Hjelmsøya
NO0421030700-C;0421030700-C;Ryggefjorden
NO0360011300-2-C;0360011300-2-C;Hovøysundet
NO0363010600-1-C;0363010600-1-C;Sørfjorden-indre
NO0321020200-C;0321020200-C;Koet
NO0110010500-C;0110010500-C;Ormefjorden
NO0302010200-C;0302010200-C;Longvafjorden
NO0280020502-C;0280020502-C;Finnafjorden
NO0365010102-C;0365010102-C;Morfjorden-ytre
NO0360020900-2-C;0360020900-2-C;Toftsundet
NO0101021100-C;0101021100-C;Horten indre havn
NO0423010100-C;0423010100-C;Risfjorden
NO0365010800-2-C;0365010800-2-C;Sigerfjorden
NO0363041200-1-C;0363041200-1-C;Buksnesfjorden-indre
NO0363041401-C;0363041401-C;Storfjordpollen
NO0363050800-C;0363050800-C;Røst-ytre
NO0282011500-C;0282011500-C;Hundvikfjorden
NO0261020400-C;0261020400-C;Indre Osterfjorden
NO0364011800-C;0364011800-C;Presteidvika
NO0131020201-C;0131020201-C;Buøysund-indre
NO0364010900-C;0364010900-C;Karlsøybotnen
NO0201020100-1-C;0201020100-1-C;Listafjorden
NO0121000500-C;0121000500-C;Strandfjorden
NO0421010900-C;0421010900-C;Tufjorden
NO0365010201-3-C;0365010201-3-C;Sløverfjorden
NO0110000038-1-C;0110000038-1-C;Melbyfjorden
NO0421021100-C;0421021100-C;Russehamn
NO0201011100-C;0201011100-C;Drangsfjorden
NO0242040101-1-C;0242040101-1-C;Karmsundet-Snorteland
NO0260000030-C;0260000030-C;Bømlo-ytre
NO0360011500-1-C;0360011500-1-C;Storvika
NO0363041500-5-C;0363041500-5-C;Skifjorden-ytre
NO0260050802-C;0260050802-C;Samnangerfjorden-ytre
NO0341030300-C;0341030300-C;Sørsalten
NO0110020400-C;0110020400-C;Soppekilen
NO0365010300-4-C;0365010300-4-C;Haugvågen
NO0280031100-C;0280031100-C;Gjølangen
NO0260050200-C;0260050200-C;Søreidsvika
NO0101010201-C;0101010201-C;Iddefjorden-indre
NO0401020801-C;0401020801-C;Gratangsbotnen
NO0282012200-2-C;0282012200-2-C;Nordfjordeid
NO0420040701-C;0420040701-C;Hønsebyvika
NO0363042400-1-C;0363042400-1-C;Leirane
NO0322020201-C;0322020201-C;Brattjerfjorden-ytre
NO0361020700-C;0361020700-C;Litjebørja
NO0302012700-C;0302012700-C;Midsund
NO0403040300-C;0403040300-C;Skjervøy Havn
NO0302012204-C;0302012204-C;Midtfjordskjeret
NO0302010802-C;0302010802-C;Vestrefjorden-indre
NO0341010102-C;0341010102-C;Fjalbotnet
NO0282011300-C;0282011300-C;Nordfjord-indre
NO0301020802-C;0301020802-C;Sunnylvsfjorden-midtre
NO0401030400-C;0401030400-C;Finnfjorden-indre
NO0360011400-2-C;0360011400-2-C;Brekkosen
NO0361031200-C;0361031200-C;Tjøttfjorden-ytre
NO0280010300-C;0280010300-C;Brandangersundet
NO0361020500-2-C;0361020500-2-C;Langfjorden-ytre
NO0421020600-C;0421020600-C;Snefjorden
NO0365030300-C;0365030300-C;Romsetfjorden
NO0365000032-2-C;0365000032-2-C;Andenes
NO0364021202-8-C;0364021202-8-C;Efjorden-ytre
NO0362011200-C;0362011200-C;Sveet
NO0260050900-C;0260050900-C;Trengereidfjorden
NO0363041500-1-C;0363041500-1-C;Myklevika
NO0121000600-C;0121000600-C;Nørholmskilen
NO0364010800-1-C;0364010800-1-C;Innhavet-ytre
NO0301021300-3-C;0301021300-3-C;Borgundfjorden-øst
NO0242031800-C;0242031800-C;Skjoldafjorden-ytre
NO0401030300-1-C;0401030300-1-C;Solbergfjorden
NO0402011400-C;0402011400-C;Nordfjorden
NO0110000034-2-C;0110000034-2-C;Såsteinflaket
NO0101010401-C;0101010401-C;Ramsøflaket - Østerelva
NO0320041000-2-C;0320041000-2-C;Hommelvika
NO0280021100-C;0280021100-C;Lustrafjorden
NO0322010300-C;0322010300-C;Hellfjorden
NO0361050100-C;0361050100-C;Ytre Flesan
NO0421030603-C;0421030603-C;Kulfjorden
NO0360011500-2-C;0360011500-2-C;Gravfjorden
NO0110020300-C;0110020300-C;Kjøpmannsfjorden
NO0364020500-C;0364020500-C;Mannfjorden
NO0280021400-C;0280021400-C;Fjærlandsfjorden
NO0320020501-C;0320020501-C;Valsøyfjorden-indre
NO0364050303-C;0364050303-C;Trollfjorden
NO0242040802-4-C;0242040802-4-C;Haugavågen
NO0420040200-C;0420040200-C;Markeila
NO0280010800-C;0280010800-C;Nyhammarsundet
NO0101030102-2-C;0101030102-2-C;Tønsbergfjorden-ytre
NO0363042300-2-C;0363042300-2-C;Vatnfjorden
NO0282010100-C;0282010100-C;Frøysjøen
NO0303011100-C;0303011100-C;Talgsjøen
NO0282012401-C;0282012401-C;Sørpollen-indre
NO0365020400-2-C;0365020400-2-C;Valfjorden
NO0320041300-2-C;0320041300-2-C;Børgin-indre
NO0282000033-C;0282000033-C;Sildegapet
NO0281010900-2-C;0281010900-2-C;Florevika Gaddevågen
NO0301022100-C;0301022100-C;Grytafjorden
