EUVANNFOREKOMSTID;VANNFOREKOMSTID;VANNFOREKOMSTNAVN
NO0303010902-3-C;0303010902-3-C;Tingvollfjorden ved Angvik
NO0320041600-2-C;0320041600-2-C;Malm havneområde
NO0320041600-1-C;0320041600-1-C;Beitstadsundet
NO0320041500-3-C;0320041500-3-C;Steinkjer havneområde
NO0320041200-11-C;0320041200-11-C;Hyllbukta
NO0320041200-10-C;0320041200-10-C;Trondheimsfjorden - Levanger
NO0320041500-1-C;0320041500-1-C;Follafoss havneområde
NO0320041200-4-C;0320041200-4-C;Verdal havn
NO0320041200-9-C;0320041200-9-C;Levanger havn
NO0365010601-6-C;0365010601-6-C;Fiskfjorden ytre
NO0365010601-7-C;0365010601-7-C;Sortlandsundet-sør-ytre
NO0320041100-1-C;0320041100-1-C;Hoplafjorden
NO0320041100-2-C;0320041100-2-C;Åsenfjorden
NO0101040300-3-C;0101040300-3-C;Larviksfjorden
NO0361050200-2-C;0361050200-2-C;Hærøysundet sør
NO0365011100-7-C;0365011100-7-C;Lifjorden
NO0365011100-8-C;0365011100-8-C;Gavlefjorden
NO0365020100-4-C;0365020100-4-C;Eidsfjorden indre
NO0365020100-3-C;0365020100-3-C;Eidsfjorden ytre
NO0365010601-5-C;0365010601-5-C;Fiskfjorden indre
NO0101040300-4-C;0101040300-4-C;Stavern
NO0320040500-5-C;0320040500-5-C;Botn
